Users,Price,Economy,TVTNum,InvestorTVT,InvestorPerc,InvestorSell,InvestorReturn,InvestorPercReturn,Bond
299530,0.007,7302541400.0,1043220200000.0,22606498146.207985,0.021669919875217127,1139473.2349276438,224800857.5074733,43.960171501494656,0.0
301645,0.007205567338515876,7516993400.0,1043220200000.0,22380433164.745903,22380433164.745903,1547480.1244651056,229366568.8422131,44.87331376844262,0.0
312564,0.007142811996930274,7451525760.0,1043220200000.0,22156628833.098442,22156628833.098442,1518662.6518036234,227882147.5008729,44.576429500174584,0.0
317956,0.007430614629586352,7751767280.0,1043220200000.0,21935062544.76746,21935062544.76746,1564055.0183205768,234176564.92464745,45.83531298492949,0.0
322638,0.007790542418561297,8127251220.0,1043220200000.0,21715711919.319786,21715711919.319786,1623417.334483651,241986160.4698083,47.39723209396166,0.0
323414,0.007558167796214069,7884833320.0,1043220200000.0,21498554800.12659,21498554800.12659,1559244.4477543978,236857914.61630493,46.37158292326099,0.0
328099,0.008007322461739142,8353400540.0,1043220200000.0,21283569252.125324,21283569252.125324,1635385.6770868476,246428017.87645528,48.285603575291056,0.0
331248,0.007998442821563463,8344137120.0,1043220200000.0,21070733559.60407,21070733559.60407,1617236.411168168,246153909.73399132,48.23078194679827,0.0
331544,0.008263014845763148,8620144000.0,1043220200000.0,20860026224.008026,20860026224.008026,1654023.950034233,251641582.4711209,49.328316494224175,0.0
336556,0.008475033478071072,8841326120.0,1043220200000.0,20651425961.76795,20651425961.76795,1679499.4957181124,255975901.99074158,50.19518039814832,0.0
341036,0.008587847244522297,8959015720.0,1043220200000.0,20444911702.15027,20444911702.15027,1684837.2696416394,258216991.49030662,50.64339829806132,0.0
346147,0.007999849092262592,8345604170.0,1043220200000.0,20240462585.128765,20240462585.128765,1553783.9790574445,246113643.08216852,48.222728616433706,0.0
349331,0.008796728983967144,9176925370.0,1043220200000.0,20038057959.277477,20038057959.277477,1691473.7067792967,262153835.78312021,51.43076715662404,0.0
370207,0.008555902934011438,8925690770.0,1043220200000.0,19837677379.684704,19837677379.684704,1628714.9494138868,257242427.59656107,50.448485519312214,0.0
372033,0.00869439121290021,9070164540.0,1043220200000.0,19639300605.887856,19639300605.887856,1638527.01499567,259903475.1300772,50.98069502601544,0.0
373612,0.00892468439549004,9310411040.0,1043220200000.0,19442907599.828976,19442907599.828976,1665108.3167292126,264338634.89061764,51.86772697812353,0.0
368517,0.0089937319273534,9382442820.0,1043220200000.0,19248478523.830685,19248478523.830685,1661210.8389910678,265593687.5232126,52.118737504642525,0.0
371226,0.00877161015478803,9150720900.0,1043220200000.0,19055993738.592377,19055993738.592377,1603981.4219966084,261233761.27947095,51.24675225589419,0.0
